timestamp_utc	run_id	status	score	validation_loss	latency_ms	parameter_count	training_backend	deployment_backend	mutation	candidate_json
2026-07-15T23:12:30.276868+00:00	20260715T231222Z-baseline-b263240d29	baseline	1.292559905	1.291762471	0.148799	5200	cpu	qnn-npu	none	"{""batch_size"":64,""beta1"":0.9,""beta2"":0.999,""hidden_dim"":64,""learning_rate"":0.001,""seed"":1337,""weight_decay"":0.01}"
2026-07-15T23:12:38.659107+00:00	20260715T231222Z-trial01-85494eacbd	keep	1.256691386	1.256032944	0.071673	5200	cpu	qnn-npu	learning_rate 0.001 -> 0.002	"{""batch_size"":64,""beta1"":0.9,""beta2"":0.999,""hidden_dim"":64,""learning_rate"":0.002,""seed"":1337,""weight_decay"":0.01}"
2026-07-15T23:12:47.950639+00:00	20260715T231222Z-trial02-144b9c8f41	keep	1.252297352	1.251307368	0.111146	7792	cpu	qnn-npu	hidden_dim 64 -> 96	"{""batch_size"":64,""beta1"":0.9,""beta2"":0.999,""hidden_dim"":96,""learning_rate"":0.002,""seed"":1337,""weight_decay"":0.01}"
2026-07-15T23:12:56.862298+00:00	20260715T231222Z-trial03-489a3ccadb	keep	1.231397268	1.230467558	0.078159	7792	cpu	qnn-npu	learning_rate 0.002 -> 0.0014	"{""batch_size"":64,""beta1"":0.9,""beta2"":0.999,""hidden_dim"":96,""learning_rate"":0.0014,""seed"":1337,""weight_decay"":0.01}"
2026-07-15T23:13:05.121263+00:00	20260715T231222Z-trial04-cac547e501	discard	1.267536566	1.266593933	0.085148	7792	cpu	qnn-npu	weight_decay 0.01 -> 0.00333333	"{""batch_size"":64,""beta1"":0.9,""beta2"":0.999,""hidden_dim"":96,""learning_rate"":0.0014,""seed"":1337,""weight_decay"":0.00333333}"
